Dataset	Seed	MCC	Accuracy	Recall	Specificity	Precision	F1
acpdl_acp240	0	0.689069639757126	0.8416666666666668	0.8916923076923077	0.7845849802371542	0.8322635326194836	0.8574890915109383
acpdl_acp240	1	0.6893540797998362	0.8416666666666666	0.884	0.7936758893280633	0.8372997628170042	0.8559363839693024
acpdl_acp240	2	0.6664969837819478	0.8291666666666666	0.8686153846153847	0.7845849802371542	0.8292307692307693	0.8430252356339313
acpdl_acp240	3	0.6821905225497863	0.8375	0.8763076923076923	0.7936758893280633	0.8369523809523809	0.8515238745401449
acpdl_acp240	4	0.6835132612671748	0.8375	0.8763076923076923	0.7936758893280633	0.8367131570691081	0.8505371973564193
acpdl_acp240	5	0.6664969837819478	0.8291666666666666	0.8686153846153847	0.7845849802371542	0.8292307692307693	0.8430252356339313
acpdl_acp240	6	0.6817811210929964	0.8375	0.884	0.7845849802371542	0.8313227513227514	0.8525597605926791
acpdl_acp240	7	0.6912244398713837	0.8416666666666666	0.8916923076923077	0.7845849802371542	0.8328281276668374	0.8566950989385438
acpdl_acp240	8	0.6904867005681966	0.8416666666666668	0.884	0.7936758893280633	0.837665538021489	0.855717585885559
acpdl_acp240	9	0.6893540797998362	0.8416666666666666	0.884	0.7936758893280633	0.8372997628170042	0.8559363839693024
acpdl_acp240	10	0.6731832971710416	0.8333333333333333	0.8686153846153847	0.7936758893280633	0.8353431855500821	0.8472381602544307
acpdl_acp240	11	0.6983537354833799	0.8458333333333332	0.8993846153846153	0.7845849802371542	0.8336939285326382	0.8616596379456359
acpdl_acp240	12	0.6976159961801928	0.8458333333333334	0.8916923076923077	0.7936758893280633	0.83853133888729	0.8606821248926512
acpdl_acp240	13	0.6724970253667426	0.8333333333333333	0.8763076923076923	0.7845849802371542	0.8277759532931948	0.8474257456714301
acpdl_acp240	14	0.6734704230829696	0.8333333333333333	0.8763076923076923	0.7845849802371542	0.8301831501831503	0.848205624163071
acpdl_acp240	15	0.6987973985782234	0.8458333333333332	0.8916923076923077	0.7936758893280633	0.8388051391610902	0.860071722315167
acpdl_acp240	16	0.6881726774018054	0.8416666666666668	0.884	0.7936758893280633	0.8370259625432039	0.8565467865467864
acpdl_acp240	17	0.675940302560335	0.8333333333333333	0.8763076923076923	0.7845849802371542	0.8307361455748552	0.8471605739797958
acpdl_acp240	18	0.6734704230829696	0.8333333333333333	0.8763076923076923	0.7845849802371542	0.8301831501831503	0.848205624163071
acpdl_acp240	19	0.6904867005681966	0.8416666666666668	0.884	0.7936758893280633	0.837665538021489	0.855717585885559
